x,y
0.5,-2.82843
0.5,2.82843
0.5,-2.76008
0.5,2.76008
0.5,-2.68999
0.5,2.68999
0.5,-2.57255
0.5,2.57255
0.5,-2.49721
0.5,2.49721
0.5,-2.28825
0.5,2.28825
0.5,-2.31991
0.5,2.31991
0.5,-2.23607
0.5,2.23607
0.5,-2
0.5,2
0.5,-1.66251
0.5,1.66251
0.5,-2.09331
0.5,2.09331
0.5,-2
0.5,2
0.5,-1.73205
0.5,1.73205
0.5,-1.32813
0.5,1.32813
0.5,-0.874032
0.5,0.874032
0.5,-2
0.5,2
0.5,-1.90211
0.5,1.90211
0.5,-1.61803
0.5,1.61803
0.5,-1.17557
0.5,1.17557
0.5,-0.618034
0.5,0.618034
0.5,-1.16168e-08
0.5,4.43723e-09
0.333333,-2
0.333333,-0.732051
0.333333,2.73205
0.333333,-2.06002
0.333333,-0.64845
0.333333,2.70847
0.333333,-2.11406
0.333333,-0.570251
0.333333,2.68431
0.333333,-2.1922
0.333333,-0.451699
0.333333,2.6439
0.333333,-2.23607
0.333333,-0.381966
0.333333,2.61803
0.333333,-2.33914
0.333333,-0.2075
0.333333,2.54664
0.333333,-2.325
0.333333,-0.23242
0.333333,2.55742
0.333333,-2.36147
0.333333,-0.167449
0.333333,2.52892
0.333333,-2.44949
0.333333,-3.72674e-10
0.333333,2.44949
0.333333,-2.54664
0.333333,0.2075
0.333333,2.33914
0.333333,-2.41702
0.333333,-0.0637041
0.333333,2.48072
0.333333,-2.44949
0.333333,-1.94453e-09
0.333333,2.44949
0.333333,-2.52892
0.333333,0.167449
0.333333,2.36147
0.333333,-2.61803
0.333333,0.381966
0.333333,2.23607
0.333333,-2.68432
0.333333,0.570251
0.333333,2.11406
0.333333,-2.44949
0.333333,-4.14514e-09
0.333333,2.44949
0.333333,-2.48072
0.333333,0.0637041
0.333333,2.41702
0.333333,-2.55742
0.333333,0.23242
0.333333,2.325
0.333333,-2.6439
0.333333,0.451699
0.333333,2.1922
0.333333,-2.70847
0.333333,0.64845
0.333333,2.06002
0.333333,-2.73205
0.333333,0.732051
0.333333,2
0.666667,-2
0.666667,-0.732051
0.666667,2.73205
0.666667,-2.06002
0.666667,-0.64845
0.666667,2.70847
0.666667,-2.11406
0.666667,-0.570251
0.666667,2.68431
0.666667,-2.1922
0.666667,-0.451699
0.666667,2.6439
0.666667,-2.23607
0.666667,-0.381966
0.666667,2.61803
0.666667,-2.33914
0.666667,-0.2075
0.666667,2.54664
0.666667,-2.325
0.666667,-0.23242
0.666667,2.55742
0.666667,-2.36147
0.666667,-0.167449
0.666667,2.52892
0.666667,-2.44949
0.666667,7.09966e-09
0.666667,2.44949
0.666667,-2.54664
0.666667,0.2075
0.666667,2.33914
0.666667,-2.41702
0.666667,-0.0637041
0.666667,2.48072
0.666667,-2.44949
0.666667,2.36156e-09
0.666667,2.44949
0.666667,-2.52892
0.666667,0.167449
0.666667,2.36147
0.666667,-2.61803
0.666667,0.381966
0.666667,2.23607
0.666667,-2.68432
0.666667,0.570251
0.666667,2.11406
0.666667,-2.44949
0.666667,-4.14513e-09
0.666667,2.44949
0.666667,-2.48072
0.666667,0.0637041
0.666667,2.41702
0.666667,-2.55742
0.666667,0.23242
0.666667,2.325
0.666667,-2.6439
0.666667,0.451699
0.666667,2.1922
0.666667,-2.70847
0.666667,0.64845
0.666667,2.06002
0.666667,-2.73205
0.666667,0.732051
0.666667,2
0.25,-2.82843
0.25,-7.84779e-09
0.25,2.4631e-09
0.25,2.82843
0.25,-2.81992
0.25,-0.219167
0.25,0.219167
0.25,2.81992
0.25,-2.81129
0.25,-0.310901
0.25,0.310901
0.25,2.81129
0.25,-2.79703
0.25,-0.420293
0.25,0.420293
0.25,2.79703
0.25,-2.78802
0.25,-0.47637
0.25,0.47637
0.25,2.78802
0.25,-2.76372
0.25,-0.601547
0.25,0.601547
0.25,2.76372
0.25,-2.76733
0.25,-0.584691
0.25,0.584691
0.25,2.76733
0.25,-2.75782
0.25,-0.628052
0.25,0.628052
0.25,2.75782
0.25,-2.73205
0.25,-0.732051
0.25,0.732051
0.25,2.73205
0.25,-2.6983
0.25,-0.848031
0.25,0.848031
0.25,2.6983
0.25,-2.74204
0.25,-0.693685
0.25,0.693685
0.25,2.74204
0.25,-2.73205
0.25,-0.732051
0.25,0.732051
0.25,2.73205
0.25,-2.70493
0.25,-0.826665
0.25,0.826665
0.25,2.70493
0.25,-2.66922
0.25,-0.935559
0.25,0.935559
0.25,2.66922
0.25,-2.63826
0.25,-1.01961
0.25,1.01961
0.25,2.63826
0.25,-2.73205
0.25,-0.732051
0.25,0.732051
0.25,2.73205
0.25,-2.72186
0.25,-0.769075
0.25,0.769075
0.25,2.72186
0.25,-2.69417
0.25,-0.861085
0.25,0.861085
0.25,2.69417
0.25,-2.65763
0.25,-0.967988
0.25,0.967988
0.25,2.65763
0.25,-2.62586
0.25,-1.05111
0.25,1.05111
0.25,2.62586
0.25,-2.61313
0.25,-1.08239
0.25,1.08239
0.25,2.61313
0.75,-2.82843
0.75,-7.38931e-09
0.75,2.35434e-08
0.75,2.82843
0.75,-2.81992
0.75,-0.219167
0.75,0.219167
0.75,2.81992
0.75,-2.81129
0.75,-0.310901
0.75,0.310901
0.75,2.81129
0.75,-2.79703
0.75,-0.420293
0.75,0.420293
0.75,2.79703
0.75,-2.78802
0.75,-0.47637
0.75,0.47637
0.75,2.78802
0.75,-2.76372
0.75,-0.601547
0.75,0.601547
0.75,2.76372
0.75,-2.76733
0.75,-0.584691
0.75,0.584691
0.75,2.76733
0.75,-2.75782
0.75,-0.628052
0.75,0.628052
0.75,2.75782
0.75,-2.73205
0.75,-0.732051
0.75,0.732051
0.75,2.73205
0.75,-2.6983
0.75,-0.848031
0.75,0.848031
0.75,2.6983
0.75,-2.74204
0.75,-0.693685
0.75,0.693685
0.75,2.74204
0.75,-2.73205
0.75,-0.732051
0.75,0.732051
0.75,2.73205
0.75,-2.70493
0.75,-0.826665
0.75,0.826665
0.75,2.70493
0.75,-2.66922
0.75,-0.935559
0.75,0.935559
0.75,2.66922
0.75,-2.63826
0.75,-1.01961
0.75,1.01961
0.75,2.63826
0.75,-2.73205
0.75,-0.732051
0.75,0.732051
0.75,2.73205
0.75,-2.72186
0.75,-0.769075
0.75,0.769075
0.75,2.72186
0.75,-2.69417
0.75,-0.861085
0.75,0.861085
0.75,2.69417
0.75,-2.65763
0.75,-0.967988
0.75,0.967988
0.75,2.65763
0.75,-2.62586
0.75,-1.05111
0.75,1.05111
0.75,2.62586
0.75,-2.61313
0.75,-1.08239
0.75,1.08239
0.75,2.61313
0.2,-2.90211
0.2,-1.34841
0.2,0.381966
0.2,0.902113
0.2,2.96645
0.2,-2.90545
0.2,-1.33365
0.2,0.334997
0.2,0.940492
0.2,2.96361
0.2,-2.90876
0.2,-1.3186
0.2,0.292559
0.2,0.974049
0.2,2.96075
0.2,-2.91405
0.2,-1.2936
0.2,0.229981
0.2,1.02158
0.2,2.95608
0.2,-2.91728
0.2,-1.27769
0.2,0.193842
0.2,1.04796
0.2,2.95317
0.2,-2.92561
0.2,-1.23415
0.2,0.10475
0.2,1.10958
0.2,2.94543
0.2,-2.9244
0.2,-1.24069
0.2,0.117392
0.2,1.10113
0.2,2.94657
0.2,-2.92754
0.2,-1.22342
0.2,0.0844699
0.2,1.12291
0.2,2.94358
0.2,-2.93565
0.2,-1.17557
0.2,-4.97369e-09
0.2,1.17557
0.2,2.93565
0.2,-2.94543
0.2,-1.10958
0.2,-0.10475
0.2,1.23415
0.2,2.92561
0.2,-2.93257
0.2,-1.19434
0.2,0.0320993
0.2,1.15611
0.2,2.9387
0.2,-2.93565
0.2,-1.17557
0.2,-3.76954e-09
0.2,1.17557
0.2,2.93565
0.2,-2.94358
0.2,-1.12291
0.2,-0.08447
0.2,1.22342
0.2,2.92754
0.2,-2.95317
0.2,-1.04796
0.2,-0.193842
0.2,1.27769
0.2,2.91728
0.2,-2.96075
0.2,-0.974049
0.2,-0.292559
0.2,1.3186
0.2,2.90876
0.2,-2.93565
0.2,-1.17557
0.2,-1.95871e-09
0.2,1.17557
0.2,2.93565
0.2,-2.9387
0.2,-1.15611
0.2,-0.0320993
0.2,1.19434
0.2,2.93257
0.2,-2.94657
0.2,-1.10113
0.2,-0.117392
0.2,1.24069
0.2,2.9244
0.2,-2.95608
0.2,-1.02158
0.2,-0.229981
0.2,1.2936
0.2,2.91405
0.2,-2.96361
0.2,-0.940492
0.2,-0.334997
0.2,1.33365
0.2,2.90545
0.2,-2.96645
0.2,-0.902113
0.2,-0.381966
0.2,1.34841
0.2,2.90211
0.4,-2.33275
0.4,-2.17557
0.4,0.175571
0.4,1.71472
0.4,2.61803
0.4,-2.37051
0.4,-2.13068
0.4,0.158409
0.4,1.73215
0.4,2.61063
0.4,-2.39758
0.4,-2.09639
0.4,0.14137
0.4,1.74959
0.4,2.60301
0.4,-2.43162
0.4,-2.05046
0.4,0.114024
0.4,1.77788
0.4,2.59017
0.4,-2.44917
0.4,-2.02542
0.4,0.0972385
0.4,1.79547
0.4,2.58188
0.4,-2.48771
0.4,-1.96673
0.4,0.0535989
0.4,1.84215
0.4,2.55869
0.4,-2.48259
0.4,-1.97484
0.4,0.0599441
0.4,1.83526
0.4,2.56222
0.4,-2.49569
0.4,-1.95387
0.4,0.0433437
0.4,1.85336
0.4,2.55286
0.4,-2.52626
0.4,-1.90211
0.4,-2.91449e-09
0.4,1.90211
0.4,2.52626
0.4,-2.55869
0.4,-1.84215
0.4,-0.0535989
0.4,1.96673
0.4,2.48771
0.4,-2.51513
0.4,-1.92144
0.4,0.0165443
0.4,1.88322
0.4,2.53681
0.4,-2.52626
0.4,-1.90211
0.4,-3.01955e-09
0.4,1.90211
0.4,2.52626
0.4,-2.55286
0.4,-1.85336
0.4,-0.0433437
0.4,1.95387
0.4,2.49569
0.4,-2.58188
0.4,-1.79547
0.4,-0.0972385
0.4,2.02542
0.4,2.44917
0.4,-2.60301
0.4,-1.74959
0.4,-0.14137
0.4,2.09639
0.4,2.39758
0.4,-2.52626
0.4,-1.90211
0.4,-2.64499e-09
0.4,1.90211
0.4,2.52626
0.4,-2.53681
0.4,-1.88322
0.4,-0.0165443
0.4,1.92144
0.4,2.51513
0.4,-2.56222
0.4,-1.83526
0.4,-0.0599441
0.4,1.97484
0.4,2.48259
0.4,-2.59017
0.4,-1.77788
0.4,-0.114024
0.4,2.05046
0.4,2.43162
0.4,-2.61063
0.4,-1.73215
0.4,-0.158409
0.4,2.13068
0.4,2.37051
0.4,-2.61803
0.4,-1.71472
0.4,-0.175571
0.4,2.17557
0.4,2.33275
0.6,-2.33275
0.6,-2.17557
0.6,0.175571
0.6,1.71472
0.6,2.61803
0.6,-2.52626
0.6,-1.90211
0.6,2.45204e-09
0.6,1.90211
0.6,2.52626
0.6,-2.61803
0.6,-1.71472
0.6,-0.175571
0.6,2.17557
0.6,2.33275
0.8,-2.90211
0.8,-1.34841
0.8,0.381966
0.8,0.902113
0.8,2.96645
0.8,-2.90545
0.8,-1.33365
0.8,0.334997
0.8,0.940492
0.8,2.96361
0.8,-2.90876
0.8,-1.3186
0.8,0.292559
0.8,0.974049
0.8,2.96075
0.8,-2.91405
0.8,-1.2936
0.8,0.229981
0.8,1.02158
0.8,2.95608
0.8,-2.91728
0.8,-1.27769
0.8,0.193842
0.8,1.04796
0.8,2.95317
0.8,-2.92561
0.8,-1.23415
0.8,0.10475
0.8,1.10958
0.8,2.94543
0.8,-2.9244
0.8,-1.24069
0.8,0.117392
0.8,1.10113
0.8,2.94657
0.8,-2.92754
0.8,-1.22342
0.8,0.0844699
0.8,1.12291
0.8,2.94358
0.8,-2.93565
0.8,-1.17557
0.8,-3.63467e-09
0.8,1.17557
0.8,2.93565
0.8,-2.94543
0.8,-1.10958
0.8,-0.10475
0.8,1.23415
0.8,2.92561
0.8,-2.93257
0.8,-1.19434
0.8,0.0320993
0.8,1.15611
0.8,2.9387
0.8,-2.93565
0.8,-1.17557
0.8,7.18626e-11
0.8,1.17557
0.8,2.93565
0.8,-2.94358
0.8,-1.12291
0.8,-0.08447
0.8,1.22342
0.8,2.92754
0.8,-2.95317
0.8,-1.04796
0.8,-0.193842
0.8,1.27769
0.8,2.91728
0.8,-2.96075
0.8,-0.974049
0.8,-0.292559
0.8,1.3186
0.8,2.90876
0.8,-2.93565
0.8,-1.17557
0.8,6.33851e-09
0.8,1.17557
0.8,2.93565
0.8,-2.9387
0.8,-1.15611
0.8,-0.0320993
0.8,1.19434
0.8,2.93257
0.8,-2.94657
0.8,-1.10113
0.8,-0.117392
0.8,1.24069
0.8,2.9244
0.8,-2.95608
0.8,-1.02158
0.8,-0.229981
0.8,1.2936
0.8,2.91405
0.8,-2.96361
